,Subset,Evaluation,EX
0,BI,RESDSQL_3B,17.24
1,BI,RESDSQL_3B_NATSQL,3.45
2,BI,RESDSQL_BASE,17.24
3,BI,RESDSQL_BASE_NATSQL,20.69
4,BI,RESDSQL_LARGE,24.14
5,BI,RESDSQL_LARGE_NATSQL,0.0
6,Join,RESDSQL_3B,69.12
7,Join,RESDSQL_3B_NATSQL,76.72
8,Join,RESDSQL_BASE,63.97
9,Join,RESDSQL_BASE_NATSQL,70.34
10,Join,RESDSQL_LARGE,67.4
11,Join,RESDSQL_LARGE_NATSQL,71.32
12,Overall,RESDSQL_3B,81.82
13,Overall,RESDSQL_3B_NATSQL,84.14
14,Overall,RESDSQL_BASE,77.95
15,Overall,RESDSQL_BASE_NATSQL,80.17
16,Overall,RESDSQL_LARGE,80.08
17,Overall,RESDSQL_LARGE_NATSQL,82.01
18,Subquery,RESDSQL_3B,55.42
19,Subquery,RESDSQL_3B_NATSQL,49.4
20,Subquery,RESDSQL_BASE,53.01
21,Subquery,RESDSQL_BASE_NATSQL,50.6
22,Subquery,RESDSQL_LARGE,57.83
23,Subquery,RESDSQL_LARGE_NATSQL,46.99
