,Subset,Evaluation,EX
0,BI,DEEPSEEK_CODER_7B_1000,24.14
1,BI,DEEPSEEK_CODER_7B_2000,31.03
2,BI,DEEPSEEK_CODER_7B_3000,24.14
3,BI,DEEPSEEK_CODER_7B_4000,24.14
4,BI,DEEPSEEK_CODER_7B_500,17.24
5,BI,DEEPSEEK_CODER_7B_5000,13.79
6,BI,DEEPSEEK_CODER_7B_6000,17.24
7,BI,DEEPSEEK_CODER_7B_7000,20.69
8,Join,DEEPSEEK_CODER_7B_1000,47.79
9,Join,DEEPSEEK_CODER_7B_2000,58.82
10,Join,DEEPSEEK_CODER_7B_3000,63.24
11,Join,DEEPSEEK_CODER_7B_4000,65.69
12,Join,DEEPSEEK_CODER_7B_500,29.66
13,Join,DEEPSEEK_CODER_7B_5000,65.44
14,Join,DEEPSEEK_CODER_7B_6000,62.5
15,Join,DEEPSEEK_CODER_7B_7000,69.85
16,Overall,DEEPSEEK_CODER_7B_1000,71.37
17,Overall,DEEPSEEK_CODER_7B_2000,76.6
18,Overall,DEEPSEEK_CODER_7B_3000,77.18
19,Overall,DEEPSEEK_CODER_7B_4000,78.05
20,Overall,DEEPSEEK_CODER_7B_500,63.44
21,Overall,DEEPSEEK_CODER_7B_5000,78.92
22,Overall,DEEPSEEK_CODER_7B_6000,77.18
23,Overall,DEEPSEEK_CODER_7B_7000,79.79
24,Subquery,DEEPSEEK_CODER_7B_1000,50.6
25,Subquery,DEEPSEEK_CODER_7B_2000,63.86
26,Subquery,DEEPSEEK_CODER_7B_3000,56.63
27,Subquery,DEEPSEEK_CODER_7B_4000,56.63
28,Subquery,DEEPSEEK_CODER_7B_500,54.22
29,Subquery,DEEPSEEK_CODER_7B_5000,54.22
30,Subquery,DEEPSEEK_CODER_7B_6000,56.63
31,Subquery,DEEPSEEK_CODER_7B_7000,55.42
