,Subset,Evaluation,EX
0,BI,LLAMA3_8B_1000,0.0
1,BI,LLAMA3_8B_2000,3.45
2,BI,LLAMA3_8B_3000,0.0
3,BI,LLAMA3_8B_4000,10.34
4,BI,LLAMA3_8B_500,0.0
5,BI,LLAMA3_8B_5000,0.0
6,BI,LLAMA3_8B_6000,6.9
7,BI,LLAMA3_8B_7000,6.9
8,Join,LLAMA3_8B_1000,9.56
9,Join,LLAMA3_8B_2000,34.07
10,Join,LLAMA3_8B_3000,29.66
11,Join,LLAMA3_8B_4000,36.03
12,Join,LLAMA3_8B_500,18.63
13,Join,LLAMA3_8B_5000,32.11
14,Join,LLAMA3_8B_6000,38.97
15,Join,LLAMA3_8B_7000,39.22
16,Overall,LLAMA3_8B_1000,25.82
17,Overall,LLAMA3_8B_2000,52.8
18,Overall,LLAMA3_8B_3000,53.68
19,Overall,LLAMA3_8B_4000,55.51
20,Overall,LLAMA3_8B_500,44.97
21,Overall,LLAMA3_8B_5000,51.93
22,Overall,LLAMA3_8B_6000,56.96
23,Overall,LLAMA3_8B_7000,57.74
24,Subquery,LLAMA3_8B_1000,19.28
25,Subquery,LLAMA3_8B_2000,36.14
26,Subquery,LLAMA3_8B_3000,38.55
27,Subquery,LLAMA3_8B_4000,44.58
28,Subquery,LLAMA3_8B_500,30.12
29,Subquery,LLAMA3_8B_5000,33.73
30,Subquery,LLAMA3_8B_6000,43.37
31,Subquery,LLAMA3_8B_7000,40.96
