,Subset,Evaluation,EX
0,BI,RESDSQL_3B_1000,6.9
1,BI,RESDSQL_3B_2000,10.34
2,BI,RESDSQL_3B_3000,6.9
3,BI,RESDSQL_3B_4000,10.34
4,BI,RESDSQL_3B_500,0.0
5,BI,RESDSQL_3B_5000,13.79
6,BI,RESDSQL_3B_6000,13.79
7,BI,RESDSQL_3B_7000,10.34
8,Join,RESDSQL_3B_1000,54.66
9,Join,RESDSQL_3B_2000,58.33
10,Join,RESDSQL_3B_3000,63.48
11,Join,RESDSQL_3B_4000,63.48
12,Join,RESDSQL_3B_500,38.97
13,Join,RESDSQL_3B_5000,64.71
14,Join,RESDSQL_3B_6000,63.73
15,Join,RESDSQL_3B_7000,63.48
16,Overall,RESDSQL_3B_1000,71.28
17,Overall,RESDSQL_3B_2000,74.95
18,Overall,RESDSQL_3B_3000,77.27
19,Overall,RESDSQL_3B_4000,79.3
20,Overall,RESDSQL_3B_500,60.83
21,Overall,RESDSQL_3B_5000,78.53
22,Overall,RESDSQL_3B_6000,78.72
23,Overall,RESDSQL_3B_7000,78.43
24,Subquery,RESDSQL_3B_1000,42.17
25,Subquery,RESDSQL_3B_2000,45.78
26,Subquery,RESDSQL_3B_3000,46.99
27,Subquery,RESDSQL_3B_4000,51.81
28,Subquery,RESDSQL_3B_500,37.35
29,Subquery,RESDSQL_3B_5000,49.4
30,Subquery,RESDSQL_3B_6000,54.22
31,Subquery,RESDSQL_3B_7000,53.01
