,Subset,Evaluation,EX
0,BI,RESDSQL_3B_NATSQL_1000,0.0
1,BI,RESDSQL_3B_NATSQL_2000,3.45
2,BI,RESDSQL_3B_NATSQL_3000,3.45
3,BI,RESDSQL_3B_NATSQL_4000,10.34
4,BI,RESDSQL_3B_NATSQL_500,0.0
5,BI,RESDSQL_3B_NATSQL_5000,0.0
6,BI,RESDSQL_3B_NATSQL_6000,3.45
7,BI,RESDSQL_3B_NATSQL_7000,6.9
8,Join,RESDSQL_3B_NATSQL_1000,67.16
9,Join,RESDSQL_3B_NATSQL_2000,71.57
10,Join,RESDSQL_3B_NATSQL_3000,73.28
11,Join,RESDSQL_3B_NATSQL_4000,71.81
12,Join,RESDSQL_3B_NATSQL_500,64.22
13,Join,RESDSQL_3B_NATSQL_5000,72.06
14,Join,RESDSQL_3B_NATSQL_6000,72.3
15,Join,RESDSQL_3B_NATSQL_7000,75.25
16,Overall,RESDSQL_3B_NATSQL_1000,75.92
17,Overall,RESDSQL_3B_NATSQL_2000,80.17
18,Overall,RESDSQL_3B_NATSQL_3000,81.33
19,Overall,RESDSQL_3B_NATSQL_4000,80.46
20,Overall,RESDSQL_3B_NATSQL_500,73.69
21,Overall,RESDSQL_3B_NATSQL_5000,80.08
22,Overall,RESDSQL_3B_NATSQL_6000,81.72
23,Overall,RESDSQL_3B_NATSQL_7000,82.69
24,Subquery,RESDSQL_3B_NATSQL_1000,44.58
25,Subquery,RESDSQL_3B_NATSQL_2000,46.99
26,Subquery,RESDSQL_3B_NATSQL_3000,43.37
27,Subquery,RESDSQL_3B_NATSQL_4000,48.19
28,Subquery,RESDSQL_3B_NATSQL_500,36.14
29,Subquery,RESDSQL_3B_NATSQL_5000,38.55
30,Subquery,RESDSQL_3B_NATSQL_6000,46.99
31,Subquery,RESDSQL_3B_NATSQL_7000,50.6
